wavenumber,cross_sec
30026.50,3.19E-19
30026.60,3.96E-19
30026.70,4.34E-19
30026.80,4.55E-19
30026.90,5.25E-19
30027.00,6.38E-19
30027.10,7.18E-19
30027.20,7.36E-19
30027.30,7.42E-19
30027.40,7.07E-19
30027.50,6.32E-19
30027.60,5.70E-19
30027.70,5.10E-19
30027.80,4.52E-19
30027.90,3.89E-19
30028.00,3.20E-19
30028.10,2.81E-19
30028.20,2.29E-19
30028.30,1.86E-19
30028.40,1.62E-19
30028.50,1.51E-19
30028.60,1.36E-19
30028.70,1.11E-19
30028.80,1.12E-19
30028.90,1.41E-19
30029.00,1.36E-19
30029.10,9.97E-20
30029.20,8.28E-20
30029.30,7.22E-20
30029.40,6.60E-20
30029.50,8.21E-20
30029.60,1.08E-19
30029.70,9.71E-20
30029.80,6.33E-20
30029.90,3.92E-20
30030.00,3.84E-20
30030.10,4.79E-20
30030.20,5.80E-20
30030.30,7.69E-20
30030.40,9.17E-20
30030.50,9.02E-20
30030.60,8.00E-20
30030.70,7.42E-20
30030.80,6.93E-20
30030.90,5.33E-20
30031.00,4.13E-20
30031.10,4.82E-20
30031.20,6.24E-20
30031.30,6.30E-20
30031.40,5.51E-20
30031.50,4.38E-20
30031.60,4.10E-20
30031.70,5.53E-20
30031.80,6.38E-20
30031.90,6.10E-20
30032.00,6.31E-20
30032.10,5.95E-20
30032.20,5.04E-20
30032.30,5.92E-20
30032.40,8.62E-20
30032.50,1.02E-19
30032.60,9.61E-20
30032.70,9.43E-20
30032.80,9.91E-20
30032.90,9.09E-20
30033.00,8.04E-20
30033.10,8.78E-20
30033.20,7.92E-20
30033.30,6.58E-20
30033.40,8.82E-20
30033.50,1.36E-19
30033.60,1.39E-19
30033.70,1.18E-19
30033.80,1.21E-19
30033.90,1.40E-19
30034.00,1.88E-19
30034.10,2.13E-19
30034.20,2.50E-19
30034.30,2.99E-19
30034.40,3.35E-19
30034.50,3.96E-19
30034.60,4.71E-19
30034.70,5.63E-19
30034.80,6.97E-19
30034.90,8.08E-19
30035.00,9.10E-19
30035.10,9.58E-19
30035.20,9.83E-19
30035.30,1.04E-18
30035.40,1.07E-18
30035.50,1.02E-18
30035.60,9.00E-19
30035.70,7.77E-19
30035.80,6.97E-19
30035.90,6.10E-19
30036.00,5.36E-19
30036.10,4.84E-19
30036.20,4.05E-19
30036.30,3.47E-19
30036.40,3.17E-19
30036.50,2.80E-19
30036.60,2.53E-19
30036.70,2.53E-19
30036.80,2.51E-19
30036.90,2.13E-19
30037.00,2.15E-19
30037.10,2.41E-19
30037.20,2.89E-19
30037.30,3.70E-19
30037.40,3.96E-19
30037.50,4.14E-19
30037.60,5.37E-19
30037.70,6.17E-19
30037.80,6.66E-19
30037.90,7.65E-19
30038.00,8.22E-19
30038.10,8.59E-19
30038.20,8.53E-19
30038.30,7.87E-19
30038.40,7.21E-19
30038.50,6.29E-19
30038.60,5.08E-19
30038.70,4.29E-19
30038.80,4.00E-19
30038.90,3.51E-19
30039.00,3.16E-19
30039.10,2.88E-19
30039.20,2.58E-19
30039.30,2.38E-19
30039.40,2.29E-19
30039.50,2.32E-19
30039.60,2.46E-19
30039.70,2.66E-19
30039.80,2.77E-19
30039.90,2.78E-19
30040.00,2.84E-19
30040.10,3.31E-19
30040.20,4.31E-19
30040.30,5.23E-19
30040.40,5.72E-19
30040.50,6.46E-19
30040.60,6.87E-19
30040.70,7.18E-19
30040.80,7.55E-19
30040.90,7.62E-19
30041.00,7.00E-19
30041.10,5.96E-19
30041.20,5.15E-19
30041.30,4.52E-19
30041.40,3.68E-19
30041.50,3.37E-19
30041.60,3.05E-19
30041.70,2.31E-19
30041.80,1.78E-19
30041.90,1.71E-19
30042.00,1.83E-19
30042.10,1.60E-19
30042.20,1.24E-19
30042.30,1.18E-19
30042.40,1.27E-19
30042.50,1.29E-19
30042.60,1.19E-19
30042.70,1.00E-19
30042.80,7.52E-20
30042.90,7.03E-20
30043.00,8.05E-20
30043.10,7.19E-20
30043.20,6.63E-20
30043.30,5.07E-20
30043.40,4.26E-20
30043.50,5.11E-20
30043.60,5.33E-20
30043.70,5.89E-20
30043.80,6.49E-20
30043.90,7.11E-20
30044.00,6.91E-20
30044.10,5.16E-20
30044.20,5.03E-20
30044.30,5.49E-20
30044.40,5.63E-20
30044.50,5.67E-20
30044.60,5.94E-20
30044.70,6.37E-20
30044.80,5.85E-20
30044.90,5.35E-20
30045.00,6.13E-20
30045.10,6.85E-20
30045.20,7.16E-20
30045.30,6.69E-20
30045.40,6.21E-20
30045.50,7.16E-20
30045.60,8.31E-20
30045.70,8.45E-20
30045.80,7.26E-20
30045.90,6.41E-20
30046.00,5.96E-20
30046.10,5.31E-20
30046.20,5.57E-20
30046.30,6.10E-20
30046.40,6.10E-20
30046.50,5.41E-20
30046.60,4.21E-20
30046.70,3.97E-20
30046.80,4.46E-20
30046.90,5.17E-20
30047.00,6.60E-20
30047.10,8.71E-20
30047.20,7.71E-20
30047.30,4.56E-20
30047.40,4.68E-20
30047.50,7.54E-20
30047.60,1.05E-19
30047.70,1.24E-19
30047.80,1.33E-19
30047.90,1.24E-19
30048.00,1.45E-19
30048.10,2.27E-19
30048.20,3.48E-19
30048.30,4.18E-19
30048.40,3.47E-19
30048.50,2.60E-19
30048.60,3.28E-19
30048.70,5.26E-19
30048.80,6.20E-19
30048.90,6.98E-19
30049.00,8.12E-19
30049.10,8.66E-19
30049.20,8.81E-19
30049.30,8.60E-19
30049.40,8.19E-19
30049.50,7.51E-19
30049.60,6.73E-19
30049.70,6.34E-19
30049.80,5.45E-19
30049.90,4.56E-19
30050.00,3.46E-19
30050.10,2.29E-19
30050.20,2.64E-19
30050.30,3.29E-19
30050.40,3.02E-19
30050.50,2.18E-19
30050.60,2.40E-19
