wavenumber,cross_sec
30027,3.04E-19
30027.1,3.25E-19
30027.2,3.07E-19
30027.3,2.69E-19
30027.4,2.35E-19
30027.5,1.91E-19
30027.6,1.48E-19
30027.7,1.30E-19
30027.8,1.26E-19
30027.9,1.05E-19
30028,8.07E-20
30028.1,7.72E-20
30028.2,6.69E-20
30028.3,4.85E-20
30028.4,3.85E-20
30028.5,3.46E-20
30028.6,3.12E-20
30028.7,3.21E-20
30028.8,3.79E-20
30028.9,3.58E-20
30029,3.16E-20
30029.1,3.02E-20
30029.2,2.26E-20
30029.3,1.46E-20
30029.4,1.37E-20
30029.5,1.42E-20
30029.6,1.07E-20
30029.7,1.03E-20
30029.8,9.17E-21
30029.9,8.91E-21
30030,1.37E-20
30030.1,2.18E-20
30030.2,3.36E-20
30030.3,3.51E-20
30030.4,2.67E-20
30030.5,3.02E-20
30030.6,3.03E-20
30030.7,1.75E-20
30030.8,8.48E-21
30030.9,1.55E-20
30031,2.84E-20
30031.1,2.40E-20
30031.2,1.10E-20
30031.3,6.86E-21
30031.4,1.09E-20
30031.5,1.96E-20
30031.6,1.87E-20
30031.7,8.96E-21
30031.8,9.76E-21
30031.9,2.03E-20
30032,2.48E-20
30032.1,2.89E-20
30032.2,3.66E-20
30032.3,3.53E-20
30032.4,2.87E-20
30032.5,2.28E-20
30032.6,2.16E-20
30032.7,2.87E-20
30032.8,3.54E-20
30032.9,3.67E-20
30033,2.28E-20
30033.1,1.50E-20
30033.2,1.93E-20
30033.3,2.14E-20
30033.4,2.42E-20
30033.5,3.52E-20
30033.6,4.45E-20
30033.7,4.91E-20
30033.8,6.05E-20
30033.9,5.85E-20
30034,5.58E-20
30034.1,7.59E-20
30034.2,9.93E-20
30034.3,1.09E-19
30034.4,1.26E-19
30034.5,1.63E-19
30034.6,2.12E-19
30034.7,2.69E-19
30034.8,3.44E-19
30034.9,3.98E-19
30035,4.16E-19
30035.1,4.00E-19
30035.2,3.92E-19
30035.3,4.08E-19
30035.4,4.01E-19
30035.5,3.56E-19
30035.6,2.88E-19
30035.7,2.32E-19
30035.8,1.80E-19
30035.9,1.30E-19
30036,1.21E-19
30036.1,1.19E-19
30036.2,8.78E-20
30036.3,8.03E-20
30036.4,9.78E-20
30036.5,9.54E-20
30036.6,7.57E-20
30036.7,6.83E-20
30036.8,7.90E-20
30036.9,8.55E-20
30037,7.40E-20
30037.1,6.66E-20
30037.2,9.65E-20
30037.3,1.50E-19
30037.4,1.79E-19
30037.5,1.59E-19
30037.6,2.02E-19
30037.7,2.85E-19
30037.8,3.31E-19
30037.9,3.71E-19
30038,3.81E-19
30038.1,3.71E-19
30038.2,3.14E-19
30038.3,2.42E-19
30038.4,2.07E-19
30038.5,1.75E-19
30038.6,1.34E-19
30038.7,1.06E-19
30038.8,8.69E-20
30038.9,8.43E-20
30039,9.67E-20
30039.1,9.29E-20
30039.2,7.60E-20
30039.3,6.30E-20
30039.4,6.05E-20
