r,e
2.5,32663.68275
2.52,32663.58391
2.54,32663.39012
2.56,32662.95521
2.58,32661.85902
2.6,32664.79785
2.62,32664.15877
2.64,32663.96317
2.66,32663.81799
2.68,32663.68726
2.7,32663.54512
2.72,32663.30918
2.74,32662.69759
2.76,32670.16527
2.78,32664.52152
2.8,32664.08826
2.82,32663.89184
2.84,32663.75502
2.86,32663.63396
2.88,32663.49431
2.9,32663.18604
2.92,32661.89131
2.94,32665.55511
2.96,32664.29026
2.98,32663.98396
3,32663.84334
3.02,32663.74075
3.04,32663.57153
3.06,32663.3896
3.08,32662.9219
3.1,32658.14304
3.12,32664.68489
3.14,32664.13409
3.16,32663.91135
3.18,32663.76936
3.2,32663.63548
3.22,32663.55381
3.24,32663.24237
3.26,32662.23505
3.28,32665.91979
3.3,32664.32201
3.32,32664.00673
3.34,32663.84176
3.36,32663.71967
3.38,32663.58051
3.4,32663.37958
3.42,32662.81398
3.44,32660.04599
3.46,32664.71576
3.48,32664.14196
3.5,32663.92495
3.52,32663.78321
3.54,32663.64705
3.56,32663.49281
3.58,32663.22264
3.6,32662.2106
3.62,32665.95253
3.64,32664.35124
3.66,32664.01339
3.68,32663.84569
3.7,32663.71685
3.72,32663.59721
3.74,32663.39667
3.76,32662.95946
3.78,32659.69535
3.8,32664.71949
3.82,32664.12562
3.84,32663.9352
3.86,32663.77089
3.88,32663.68854
3.9,32663.51563
3.92,32663.24469
3.94,32662.28836
3.96,32666.08667
3.98,32664.34932
4,32664.01213
4.02,32663.81123
4.04,32663.71393
4.06,32663.57531
4.08,32663.38537
4.1,32662.33069
4.12,32660.65371
4.14,32664.75396
4.16,32664.14305
4.18,32663.91848
4.2,32663.78623
4.22,32663.67719
4.24,32663.50636
4.26,32663.24405
4.28,32662.30385
4.3,32666.17565
4.32,32664.36129
4.34,32664.03255
4.36,32663.85137
4.38,32663.72289
4.4,32663.58322
4.42,32663.40762
4.44,32663.00817
4.46,32660.98876
4.48,32664.80305
4.5,32664.15411
4.52,32663.92671
4.54,32663.77894
4.56,32663.61569
4.58,32663.5371
4.6,32663.19603
4.62,32662.45444
4.64,32666.52899
4.66,32664.37796
4.68,32664.0343
4.7,32663.86058
4.72,32663.72911
4.74,32663.58812
4.76,32663.40213
4.78,32662.9849
4.8,32662.70308
4.82,32664.87663
4.84,32664.17596
4.86,32663.94304
4.88,32663.79229
4.9,32663.67628
4.92,32663.52295
4.94,32663.2781
4.96,32662.50741
4.98,32666.87282
5,32664.4117
5.02,32664.04676
5.04,32663.88493
5.06,32663.74276
5.08,32663.61079
5.1,32663.43465
5.12,32663.06626
5.14,32662.38367
5.16,32664.95418
5.18,32664.29498
5.2,32663.95182
5.22,32663.80084
5.24,32663.66256
5.26,32663.44826
5.28,32663.34149
5.3,32662.65678
5.32,32667.60019
5.34,32664.44672
5.36,32664.05103
5.38,32663.88835
5.4,32663.74839
5.42,32663.61609
5.44,32663.43702
5.46,32663.08242
5.48,32659.27101
5.5,32665.16397
5.52,32664.21362
5.54,32663.96231
5.56,32663.79811
5.58,32663.68939
5.6,32663.54462
5.62,32663.32587
5.64,32662.70209
5.66,32668.31971
5.68,32664.48906
5.7,32664.06731
5.72,32663.86749
5.74,32663.77427
5.76,32663.69203
5.78,32663.46896
5.8,32663.14769
5.82,32660.91249
5.84,32665.19505
5.86,32664.24393
5.88,32663.97192
5.9,32663.81653
5.92,32663.68831
5.94,32663.53226
5.96,32663.23121
5.98,32662.8717
6,32669.6708
6.02,32664.54293
6.04,32664.08889
6.06,32663.89063
6.08,32663.75528
6.1,32663.63331
6.12,32663.4705
6.14,32663.14934
6.16,32661.54528
6.18,32665.35388
6.2,32664.26809
6.22,32663.99429
6.24,32663.83654
6.26,32663.70481
6.28,32663.56758
6.3,32663.36674
6.32,32662.86741
6.34,32658.82664
6.36,32664.62538
6.38,32664.11162
6.4,32663.90407
6.42,32663.75451
6.44,32663.66982
6.46,32663.50298
6.48,32663.2229
