r,1,2,3,4,5,6
1.15433333,6.27E+03,3.93E+04,7.61E+04,6.68E+04,9.73E+04,1.66E+05
1.15894444,5.93E+03,3.89E+04,7.56E+04,6.63E+04,9.68E+04,1.63E+05
1.16355556,5.61E+03,3.86E+04,7.51E+04,6.58E+04,9.63E+04,1.60E+05
1.16816667,5.29E+03,3.82E+04,7.46E+04,6.53E+04,9.58E+04,1.57E+05
1.17277778,4.99E+03,3.79E+04,7.41E+04,6.48E+04,9.53E+04,1.54E+05
1.17738889,4.70E+03,3.76E+04,7.36E+04,6.44E+04,9.49E+04,1.52E+05
1.182,4.42E+03,3.73E+04,7.31E+04,6.39E+04,9.44E+04,1.49E+05
1.18661111,4.16E+03,3.70E+04,7.27E+04,6.35E+04,9.40E+04,1.47E+05
1.19122222,3.90E+03,3.67E+04,7.22E+04,6.30E+04,9.35E+04,1.44E+05
1.19583333,3.65E+03,3.65E+04,7.18E+04,6.26E+04,9.30E+04,1.42E+05
1.20044444,3.41E+03,3.62E+04,7.13E+04,6.22E+04,9.26E+04,1.39E+05
1.20505556,3.19E+03,3.59E+04,7.09E+04,6.17E+04,9.21E+04,1.37E+05
1.20966667,2.97E+03,3.57E+04,7.04E+04,6.13E+04,9.17E+04,1.35E+05
1.21427778,2.76E+03,3.55E+04,7.00E+04,6.09E+04,9.12E+04,1.33E+05
1.21888889,2.56E+03,3.52E+04,6.95E+04,6.05E+04,9.08E+04,1.31E+05
1.2235,2.37E+03,3.50E+04,6.91E+04,6.01E+04,9.04E+04,1.29E+05
1.22811111,2.19E+03,3.48E+04,6.87E+04,5.97E+04,8.99E+04,1.27E+05
1.23272222,2.02E+03,3.46E+04,6.83E+04,5.94E+04,8.95E+04,1.25E+05
1.23733333,1.86E+03,3.44E+04,6.79E+04,5.90E+04,8.90E+04,1.23E+05
1.24194444,1.70E+03,3.42E+04,6.75E+04,5.86E+04,8.86E+04,1.21E+05
1.24655556,1.55E+03,3.40E+04,6.71E+04,5.82E+04,8.82E+04,1.19E+05
1.25116667,1.41E+03,3.39E+04,6.67E+04,5.79E+04,8.77E+04,1.18E+05
1.25577778,1.28E+03,3.37E+04,6.63E+04,5.75E+04,8.73E+04,1.16E+05
1.26038889,1.16E+03,3.35E+04,6.59E+04,5.72E+04,8.69E+04,1.14E+05
1.265,1.04E+03,3.34E+04,6.56E+04,5.68E+04,8.64E+04,1.13E+05
1.26961111,9.30E+02,3.32E+04,6.52E+04,5.65E+04,8.60E+04,1.11E+05
1.27422222,8.26E+02,3.31E+04,6.48E+04,5.61E+04,8.56E+04,1.10E+05
1.27883333,7.30E+02,3.29E+04,6.44E+04,5.58E+04,8.51E+04,1.08E+05
1.28344444,6.41E+02,3.28E+04,6.41E+04,5.55E+04,8.47E+04,1.07E+05
1.28805556,5.58E+02,3.27E+04,6.37E+04,5.52E+04,8.43E+04,1.05E+05
1.29266667,4.81E+02,3.26E+04,6.34E+04,5.48E+04,8.39E+04,1.04E+05
1.29727778,4.11E+02,3.25E+04,6.30E+04,5.45E+04,8.34E+04,1.02E+05
1.30188889,3.46E+02,3.23E+04,6.27E+04,5.42E+04,8.30E+04,1.01E+05
1.3065,2.88E+02,3.22E+04,6.23E+04,5.39E+04,8.26E+04,9.98E+04
1.31111111,2.35E+02,3.21E+04,6.20E+04,5.36E+04,8.22E+04,9.85E+04
1.31572222,1.88E+02,3.21E+04,6.17E+04,5.33E+04,8.18E+04,9.73E+04
1.32033333,1.47E+02,3.20E+04,6.13E+04,5.30E+04,8.13E+04,9.61E+04
1.32494444,1.11E+02,3.19E+04,6.10E+04,5.27E+04,8.09E+04,9.50E+04
1.32955556,8.02E+01,3.18E+04,6.07E+04,5.24E+04,8.05E+04,9.38E+04
1.33416667,5.47E+01,3.17E+04,6.04E+04,5.21E+04,8.01E+04,9.27E+04
