r,1,2,3,4,5,
0.88112811,5.66E+04,1.78E+05,1.96E+05,1.99E+05,2.33E+05,
0.88154315,5.64E+04,1.78E+05,1.96E+05,1.99E+05,2.32E+05,
0.8819582,5.63E+04,1.78E+05,1.95E+05,1.99E+05,2.32E+05,
0.88237324,5.61E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.88278828,5.59E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.88320332,5.58E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.88361836,5.56E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.8840334,5.54E+04,1.78E+05,1.95E+05,1.98E+05,2.32E+05,
0.88444844,5.53E+04,1.77E+05,1.95E+05,1.98E+05,2.32E+05,
0.88486349,5.51E+04,1.77E+05,1.95E+05,1.98E+05,2.32E+05,
0.88527853,5.49E+04,1.77E+05,1.95E+05,1.98E+05,2.31E+05,
0.88569357,5.48E+04,1.77E+05,1.95E+05,1.98E+05,2.31E+05,
0.88610861,5.46E+04,1.77E+05,1.94E+05,1.98E+05,2.31E+05,
0.88652365,5.44E+04,1.77E+05,1.94E+05,1.97E+05,2.31E+05,
0.88693869,5.43E+04,1.77E+05,1.94E+05,1.97E+05,2.31E+05,
0.88735374,5.41E+04,1.77E+05,1.94E+05,1.97E+05,2.31E+05,
0.88776878,5.40E+04,1.77E+05,1.94E+05,1.97E+05,2.31E+05,
0.88818382,5.38E+04,1.77E+05,1.94E+05,1.97E+05,2.31E+05,
0.88859886,5.36E+04,1.76E+05,1.94E+05,1.97E+05,2.31E+05,
0.8890139,5.35E+04,1.76E+05,1.94E+05,1.97E+05,2.31E+05,
0.88942894,5.33E+04,1.76E+05,1.94E+05,1.97E+05,2.30E+05,
0.88984398,5.31E+04,1.76E+05,1.94E+05,1.97E+05,2.30E+05,
0.89025903,5.30E+04,1.76E+05,1.93E+05,1.97E+05,2.30E+05,
0.89067407,5.28E+04,1.76E+05,1.93E+05,1.96E+05,2.30E+05,
0.89108911,5.27E+04,1.76E+05,1.93E+05,1.96E+05,2.30E+05,
0.89150415,5.25E+04,1.76E+05,1.93E+05,1.96E+05,2.30E+05,
0.89191919,5.23E+04,1.76E+05,1.93E+05,1.96E+05,2.30E+05,
0.89233423,5.22E+04,1.76E+05,1.93E+05,1.96E+05,2.30E+05,
0.89274927,5.20E+04,1.75E+05,1.93E+05,1.96E+05,2.30E+05,
0.89316432,5.19E+04,1.75E+05,1.93E+05,1.96E+05,2.29E+05,
0.89357936,5.17E+04,1.75E+05,1.93E+05,1.96E+05,2.29E+05,
0.8939944,5.16E+04,1.75E+05,1.93E+05,1.96E+05,2.29E+05,
0.89440944,5.14E+04,1.75E+05,1.92E+05,1.95E+05,2.29E+05,
0.89482448,5.12E+04,1.75E+05,1.92E+05,1.95E+05,2.29E+05,
0.89523952,5.11E+04,1.75E+05,1.92E+05,1.95E+05,2.29E+05,
0.89565457,5.09E+04,1.75E+05,1.92E+05,1.95E+05,2.29E+05,
0.89606961,5.08E+04,1.75E+05,1.92E+05,1.95E+05,2.29E+05,
0.89648465,5.06E+04,1.75E+05,1.92E+05,1.95E+05,2.29E+05,
0.89689969,5.05E+04,1.74E+05,1.92E+05,1.95E+05,2.29E+05,
0.89731473,5.03E+04,1.74E+05,1.92E+05,1.95E+05,2.28E+05,
0.89772977,5.02E+04,1.74E+05,1.92E+05,1.95E+05,2.28E+05,
0.89814481,5.00E+04,1.74E+05,1.92E+05,1.95E+05,2.28E+05,
0.89855986,4.99E+04,1.74E+05,1.91E+05,1.94E+05,2.28E+05,
0.8989749,4.97E+04,1.74E+05,1.91E+05,1.94E+05,2.28E+05,
0.89938994,4.96E+04,1.74E+05,1.91E+05,1.94E+05,2.28E+05,
0.89980498,4.94E+04,1.74E+05,1.91E+05,1.94E+05,2.28E+05,
0.90022002,4.93E+04,1.74E+05,1.91E+05,1.94E+05,2.28E+05,
0.90063506,4.91E+04,1.74E+05,1.91E+05,1.94E+05,2.28E+05,
0.90105011,4.90E+04,1.73E+05,1.91E+05,1.94E+05,2.28E+05,
0.90146515,4.88E+04,1.73E+05,1.91E+05,1.94E+05,2.27E+05,
0.90188019,4.87E+04,1.73E+05,1.91E+05,1.94E+05,2.27E+05,
0.90229523,4.85E+04,1.73E+05,1.91E+05,1.94E+05,2.27E+05,
0.90271027,4.84E+04,1.73E+05,1.90E+05,1.94E+05,2.27E+05,
0.90312531,4.82E+04,1.73E+05,1.90E+05,1.93E+05,2.27E+05,
0.90354035,4.81E+04,1.73E+05,1.90E+05,1.93E+05,2.27E+05,
0.9039554,4.79E+04,1.73E+05,1.90E+05,1.93E+05,2.27E+05,
0.90437044,4.78E+04,1.73E+05,1.90E+05,1.93E+05,2.27E+05,
0.90478548,4.76E+04,1.73E+05,1.90E+05,1.93E+05,2.27E+05,
0.90520052,4.75E+04,1.72E+05,1.90E+05,1.93E+05,2.27E+05,
0.90561556,4.73E+04,1.72E+05,1.90E+05,1.93E+05,2.26E+05,
0.9060306,4.72E+04,1.72E+05,1.90E+05,1.93E+05,2.26E+05,
0.90644564,4.71E+04,1.72E+05,1.90E+05,1.93E+05,2.26E+05,
0.90686069,4.69E+04,1.72E+05,1.90E+05,1.93E+05,2.26E+05,
0.90727573,4.68E+04,1.72E+05,1.89E+05,1.92E+05,2.26E+05,
0.90769077,4.66E+04,1.72E+05,1.89E+05,1.92E+05,2.26E+05,
0.90810581,4.65E+04,1.72E+05,1.89E+05,1.92E+05,2.26E+05,
0.90852085,4.64E+04,1.72E+05,1.89E+05,1.92E+05,2.26E+05,
0.90893589,4.62E+04,1.72E+05,1.89E+05,1.92E+05,2.26E+05,
0.90935094,4.61E+04,1.71E+05,1.89E+05,1.92E+05,2.26E+05,
0.90976598,4.59E+04,1.71E+05,1.89E+05,1.92E+05,2.25E+05,
0.91018102,4.58E+04,1.71E+05,1.89E+05,1.92E+05,2.25E+05,
0.91059606,4.57E+04,1.71E+05,1.89E+05,1.92E+05,2.25E+05,
0.9110111,4.55E+04,1.71E+05,1.89E+05,1.92E+05,2.25E+05,
0.91142614,4.54E+04,1.71E+05,1.88E+05,1.91E+05,2.25E+05,
0.91184118,4.52E+04,1.71E+05,1.88E+05,1.91E+05,2.25E+05,
0.91225623,4.51E+04,1.71E+05,1.88E+05,1.91E+05,2.25E+05,
0.91267127,4.50E+04,1.71E+05,1.88E+05,1.91E+05,2.25E+05,
0.91308631,4.48E+04,1.71E+05,1.88E+05,1.91E+05,2.25E+05,
0.91350135,4.47E+04,1.71E+05,1.88E+05,1.91E+05,2.25E+05,
0.91391639,4.46E+04,1.70E+05,1.88E+05,1.91E+05,2.24E+05,
0.91433143,4.44E+04,1.70E+05,1.88E+05,1.91E+05,2.24E+05,
0.91474647,4.43E+04,1.70E+05,1.88E+05,1.91E+05,2.24E+05,
0.91516152,4.41E+04,1.70E+05,1.88E+05,1.91E+05,2.24E+05,
