r,1,2,3,4,5,6,7,8
1.8691,-171.6963399,36.20906836,68.86857326,49.60276845,-55.99572746,90.53096777,85.09266828,-167.3757922
1.8734,-171.4528224,35.69005663,69.5944888,50.10734913,-55.99474005,90.58896112,85.29547885,-167.368114
1.8777,-171.2037086,35.18019211,70.31973514,50.61107315,-55.99396931,90.64660444,85.49891577,-167.3599299
1.882,-170.9491669,34.68388735,71.04408274,51.11403958,-55.99350522,90.7038226,85.7028724,-167.3513003
1.8863,-170.6893656,34.20555491,71.76730206,51.61634747,-55.99343776,90.76054051,85.90724208,-167.3422856
1.8906,-170.4244726,33.74960735,72.48916356,52.11809587,-55.99385692,90.81668303,86.11191817,-167.3329462
1.8949,-170.1546564,33.32045721,73.20943768,52.61938384,-55.99485268,90.87217505,86.316794,-167.3233423
1.8992,-169.880085,32.92251707,73.92789489,53.12031044,-55.99651504,90.92694145,86.52176292,-167.3135344
1.9035,-169.6009267,32.56019947,74.64430565,53.62097472,-55.99893397,90.98090712,86.72671829,-167.3035827
1.9078,-169.3173451,32.23759776,75.35845529,54.12146641,-56.00219096,91.03400326,86.93156007,-167.2935407
